month,year,Day/Month/Year,overall_change_avg,positive_change_avg,negative_change_avg,overall_change_std,positive_change_std,negative_change_std
May,2008,1/5/2008,1.075,0.733333333333,0.7,1.75196318454,1.5260697523,1.1
March,2003,1/3/2003,1.25925925926,0.833333333333,0.80487804878,3.07429718066,2.51582294277,2.09784456393
April,2013,1/4/2013,1.24489795918,0.75,0.815789473684,2.10471397296,1.54515371404,1.39274932867
September,2016,1/9/2016,1.66666666667,1.05454545455,0.962962962963,4.5538306663,4.37105430102,2.28491804669
January,2006,1/1/2006,1.26666666667,0.820512820513,0.714285714286,2.04830553276,1.2784564987,1.20881118865
June,2008,1/6/2008,1.15625,0.769230769231,0.809523809524,1.78727052723,1.624516314,1.13888197553
August,2009,1/8/2009,1.2,0.793103448276,0.862068965517,1.76351920885,1.26978983721,1.71653496064
October,2012,1/10/2012,1.24,0.780487804878,0.882352941176,2.1592591322,1.4735421919,1.5674014817
July,2001,1/7/2001,1.27083333333,0.815789473684,0.833333333333,2.23364037069,1.35443255079,1.83333333333
August,2006,1/8/2006,1.09090909091,0.72,0.72,1.33402186079,1.04,0.872696969171
October,2001,1/10/2001,1.15094339623,0.75,0.775,2.00373449843,1.17792189894,1.82328686717
February,2010,1/2/2010,1.58139534884,1.0,0.891891891892,2.32511623255,1.88224789623,1.35135135135
December,2010,1/12/2010,1.17948717949,0.757575757576,0.7,1.87933150788,1.30338261622,1.06926766216
November,2005,1/11/2005,1.325,0.84375,0.928571428571,2.13760964631,1.30166659998,2.10320455205
September,2007,1/9/2007,1.0,0.68,0.65,1.23827837473,0.926066952223,0.726291952317
May,2005,1/5/2005,1.15909090909,0.757575757576,0.787878787879,1.75736349293,1.30338261622,1.1999387802
January,2012,1/1/2012,1.28888888889,0.842105263158,0.787878787879,2.32495851549,1.42397360615,1.85468409068
March,2000,1/3/2000,1.4406779661,0.877551020408,0.933333333333,3.00435382624,2.67743902205,1.79381653961
June,2002,1/6/2002,1.29411764706,0.880952380952,0.763157894737,2.55369104375,2.03776699626,1.42227043335
April,2008,1/4/2008,1.10526315789,0.884615384615,0.703703703704,1.90276078763,2.04425881014,1.11603845728
January,2001,1/1/2001,1.37735849057,0.883720930233,0.795454545455,2.55672561152,1.7415483932,1.53118411479
June,2013,1/6/2013,1.4,1.0,0.783783783784,2.33238075794,2.09529088731,1.43574324165
