month,year,Day/Month/Year,overall_change_avg,positive_change_avg,negative_change_avg,overall_change_std,positive_change_std,negative_change_std
May,2008,1/5/2008,0.928571428571,0.681818181818,0.55,1.81124604759,1.51916136064,0.668954408013
March,2003,1/3/2003,1.19047619048,0.727272727273,0.838709677419,2.62984786124,1.69263515682,2.1567115678
April,2013,1/4/2013,0.942857142857,0.642857142857,0.652173913043,1.19386185233,0.934049773616,0.758069381485
September,2016,1/9/2016,1.14634146341,0.774193548387,0.741935483871,2.91807634272,1.9790789226,1.77741642761
January,2006,1/1/2006,1.22916666667,0.777777777778,0.794871794872,1.96043769914,1.33564614224,1.39925781022
June,2008,1/6/2008,0.84,0.611111111111,0.555555555556,1.18928549979,1.00768650818,0.684934889219
August,2009,1/8/2009,1.08823529412,0.730769230769,0.857142857143,1.72127939864,0.982840949168,1.85897345676
October,2012,1/10/2012,1.05128205128,0.714285714286,0.727272727273,1.85290787335,1.321718115,1.17480436212
July,2001,1/7/2001,0.891891891892,0.68,0.64,1.60714256728,1.34818396371,1.01508620324
August,2006,1/8/2006,1.03571428571,0.736842105263,0.625,1.23872465686,1.06830437527,0.753464221668
October,2001,1/10/2001,1.11111111111,0.685714285714,0.764705882353,2.22333305569,1.30430996692,2.00086486491
February,2010,1/2/2010,1.275,0.8125,0.757575757576,2.16780418857,1.58976216775,1.01594270389
December,2010,1/12/2010,0.941176470588,0.76,0.684210526316,1.25887850347,1.20929731663,0.976170367947
November,2005,1/11/2005,1.06451612903,0.72,0.714285714286,1.58491851568,0.96,1.38505138783
September,2007,1/9/2007,0.807692307692,0.65,0.571428571429,1.03846153846,0.852936105462,0.622699849077
May,2005,1/5/2005,1.17777777778,0.722222222222,0.794117647059,1.76747011779,1.01683362321,1.25509342902
January,2012,1/1/2012,1.13043478261,0.777777777778,0.705882352941,2.01741004489,1.39664501,1.15119916416
March,2000,1/3/2000,1.18867924528,0.756756756757,0.853658536585,2.37166133773,1.86584384801,1.78832222242
June,2002,1/6/2002,1.17073170732,0.821428571429,0.833333333333,1.98657001896,1.55961468292,1.26710518725
April,2008,1/4/2008,1.0,0.739130434783,0.6,1.45773797371,1.15032665698,0.894427191
January,2001,1/1/2001,1.4,1.0,0.833333333333,3.08427094671,2.51661147842,1.85056833827
June,2013,1/6/2013,1.02702702703,0.838709677419,0.6,1.73183992904,1.58819788711,0.8
August,2012,1/8/2012,1.18604651163,0.805555555556,0.6875,1.76866542715,1.19767006318,0.982264602844
October,2011,1/10/2011,1.11764705882,0.692307692308,0.952380952381,2.23297092895,1.13575562002,2.14866936622
July,2002,1/7/2002,1.0,0.692307692308,0.740740740741,1.52177182051,1.06587742004,1.17355403835
February,2000,1/2/2000,1.30909090909,0.90243902439,0.833333333333,2.6620069481,2.52600984924,1.55711373207
January,2016,1/1/2016,1.40677966102,0.787234042553,0.92,3.34014433905,2.09290768125,2.51268780393
November,2011,1/11/2011,1.2,0.75,0.807692307692,1.95375097112,1.24283661724,1.44166652415
February,2015,1/2/2015,1.13043478261,0.764705882353,0.742857142857,2.3829894967,1.7159943701,1.33829010613
December,2005,1/12/2005,1.05,0.689655172414,0.733333333333,1.65755844543,0.986231010074,1.26315302143
November,2006,1/11/2006,0.862068965517,0.608695652174,0.611111111111,1.1955128154,0.966352642213,0.825892708184
May,2015,1/5/2015,1.26785714286,0.833333333333,0.861111111111,2.88153649136,1.6996731712,2.23796506995
