month,year,Day/Month/Year,overall_change_avg,positive_change_avg,negative_change_avg,overall_change_std,positive_change_std,negative_change_std
December,2013,1/12/2013,1.25,0.837837837838,0.805555555556,2.41953852349,1.60259103572,1.46854887643
November,2014,1/11/2014,1.075,0.769230769231,0.69696969697,1.9024655056,1.55186469245,1.02941137888
August,2016,1/8/2016,1.37735849057,0.977272727273,0.857142857143,4.80654591037,5.06542933819,1.7261494248
September,2012,1/9/2012,1.0,0.676470588235,0.740740740741,1.58481163139,0.930546589386,1.40350335715
December,2002,1/12/2002,1.1914893617,0.763157894737,0.84375,2.35776939186,1.58004347919,1.64144324833
May,2010,1/5/2010,1.08695652174,0.642857142857,0.761904761905,1.38039198838,0.894997434724,0.971241812113
March,2013,1/3/2013,1.23255813953,0.777777777778,0.757575757576,2.03272310543,1.41639430933,1.27992194436
April,2003,1/4/2003,1.40384615385,0.772727272727,0.847826086957,3.28902379359,2.19362336582,2.51920787502
January,2004,1/1/2004,1.26666666667,0.967741935484,0.794117647059,2.31324687639,1.8401239609,1.51034495017
July,2016,1/7/2016,1.31578947368,0.909090909091,0.813953488372,4.18501040573,3.93017569477,1.82050100379
April,2016,1/4/2016,1.4262295082,0.931818181818,0.884615384615,3.85584085955,3.63941633228,2.21579857244
May,2016,1/5/2016,1.36206896552,0.869565217391,0.886363636364,3.14970319271,2.48131009972,1.82427954759
October,2014,1/10/2014,1.13157894737,0.677419354839,0.758620689655,2.69669439589,1.71119834966,1.85053901586
July,2015,1/7/2015,1.17948717949,0.733333333333,0.923076923077,2.79075208016,1.91369334592,2.6300493842
August,2004,1/8/2004,1.0,0.739130434783,0.677419354839,1.50437957136,1.03071909488,1.22835050095
October,2003,1/10/2003,1.04255319149,0.783783783784,0.645161290323,1.8445716427,1.49114748369,0.784872584555
February,2008,1/2/2008,1.22222222222,0.827586206897,0.740740740741,2.13582030964,1.98388273981,1.0396791739
December,2008,1/12/2008,0.8,0.666666666667,0.615384615385,1.10754984839,1.10554159679,0.835598499323
November,2003,1/11/2003,1.12244897959,0.742857142857,0.852941176471,2.07642405583,1.40087436253,1.62936929229
September,2009,1/9/2009,0.914285714286,0.727272727273,0.666666666667,1.53755703395,1.24979337135,1.02740233383
May,2007,1/5/2007,0.90625,0.692307692308,0.578947368421,1.46542176096,1.02916062771,0.815364914991
March,2002,1/3/2002,1.29545454545,0.810810810811,0.72972972973,2.25206516794,1.79846537942,1.20019477358
April,2014,1/4/2014,1.06818181818,0.833333333333,0.653846153846,2.36833012971,1.92209376578,1.03560861676
January,2007,1/1/2007,1.11764705882,0.785714285714,0.666666666667,1.5674014817,1.23511546184,0.849836585599
October,2016,1/10/2016,1.45161290323,0.87037037037,0.955555555556,3.84236746305,1.72182392846,3.88132597936
June,2015,1/6/2015,1.30357142857,0.88,0.828571428571,3.48936978989,2.91643618137,1.91960880368
August,2010,1/8/2010,1.05128205128,0.75,0.689655172414,1.50125960701,1.08972473589,1.20640384031
October,2013,1/10/2013,1.39130434783,0.891891891892,0.756097560976,2.82441422068,2.43603337065,1.22535187191
July,2000,1/7/2000,1.07692307692,0.741935483871,0.703703703704,1.89985985157,1.34326856862,1.29999472406
August,2007,1/8/2007,0.967741935484,0.65,0.739130434783,1.28223270415,0.963068014213,1.1875217638
November,2009,1/11/2009,1.02777777778,0.777777777778,0.666666666667,1.36394263302,1.09994388185,0.986013297183
February,2013,1/2/2013,1.0652173913,0.838709677419,0.71875,1.79857641668,1.68669889837,1.17883350712
December,2011,1/12/2011,1.425,0.878787878788,0.848484848485,2.44834127523,1.57167302787,1.68992042347
November,2004,1/11/2004,0.852941176471,0.666666666667,0.55,0.974146774216,0.816496580928,0.668954408013
September,2006,1/9/2006,0.878787878788,0.75,0.578947368421,1.1999387802,1.16368667031,0.590788008438
April,2004,1/4/2004,1.125,0.820512820513,0.647058823529,2.25115710987,1.79560424616,0.966569219127
May,2004,1/5/2004,1.21052631579,0.764705882353,0.740740740741,1.93523961167,1.16464646313,1.20470044202
January,2013,1/1/2013,1.14,0.789473684211,0.72972972973,2.43318721022,2.02819461768,1.24441777656
March,2007,1/3/2007,1.05714285714,0.777777777778,0.64,1.70617127164,1.34256066373,0.793977329651
June,2001,1/6/2001,1.04255319149,0.757575757576,0.8,1.87885713121,1.80957559113,1.4236104336
April,2009,1/4/2009,1.13333333333,0.708333333333,0.894736842105,1.43139403691,0.978057882859,1.11896271713
January,2002,1/1/2002,1.125,0.820512820513,0.647058823529,2.21382963813,1.90642362005,1.13454714835
June,2012,1/6/2012,1.04347826087,0.702702702703,0.846153846154,1.78101731724,1.03623186555,1.43291815463
August,2013,1/8/2013,1.04651162791,0.757575757576,0.714285714286,1.75145771012,1.57692264621,1.22057196362
March,2016,1/3/2016,1.484375,0.895833333333,0.962962962963,3.69540334191,2.55146676225,2.3723949687
October,2008,1/10/2008,1.0,0.761904761905,0.722222222222,1.6188544268,1.064794275,1.04379412378
July,2005,1/7/2005,0.931034482759,0.608695652174,0.684210526316,1.3879042619,1.05249725538,1.07862639642
February,2003,1/2/2003,1.32727272727,0.844444444444,0.853658536585,3.42745357613,2.86709729754,2.23673297914
January,2017,1/1/2017,2.32142857143,1.45652173913,1.3125,4.89937001365,3.7804216566,3.27971194111
November,2010,1/11/2010,0.973684210526,0.633333333333,0.666666666667,1.38577058376,0.835995746932,0.942809041582
February,2014,1/2/2014,1.14,0.80487804878,0.685714285714,2.40008333189,1.9533524927,1.11538407405
December,2006,1/12/2006,1.0303030303,0.633333333333,0.75,1.62340548315,1.0482790129,1.3738631664
May,2014,1/5/2014,1.02325581395,0.727272727273,0.714285714286,2.00567070604,1.54277843168,1.09730653541
September,2003,1/9/2003,1.15384615385,0.758620689655,0.741935483871,1.98117372021,1.22207207908,1.48036050395
March,2009,1/3/2009,1.0,0.681818181818,0.739130434783,1.85404962177,1.01741042207,1.50989176993
June,2010,1/6/2010,1.03571428571,0.7,0.75,1.61426991143,1.51986841536,0.887411967465
May,2001,1/5/2001,1.12765957447,0.75,0.783783783784,2.15975787923,1.22474487139,1.59619708759
January,2008,1/1/2008,1.21428571429,0.833333333333,0.787878787879,2.19887107708,2.08299997333,1.17441347728
March,2004,1/3/2004,1.02040816327,0.685714285714,0.722222222222,2.07501950734,1.59948971455,1.19282836409
June,2006,1/6/2006,0.90625,0.64,0.619047619048,1.30765474706,0.974884608556,0.843811673651
July,2011,1/7/2011,1.1914893617,0.891891891892,0.793103448276,2.4024659129,2.17831801942,1.26978983721
August,2000,1/8/2000,1.13333333333,0.805555555556,0.709677419355,2.44585817705,1.68026857054,1.46339306093
November,2016,1/11/2016,1.56923076923,0.892857142857,0.962962962963,4.57070683229,2.36551543333,3.87280625101
July,2006,1/7/2006,1.08823529412,0.689655172414,0.809523809524,1.5971969391,0.986231010074,1.25808045844
February,2004,1/2/2004,1.09090909091,0.771428571429,0.7,2.44780218506,2.21792327944,1.00498756211
December,2012,1/12/2012,1.11363636364,0.828571428571,0.714285714286,1.93315461794,1.6645156187,1.16057691495
November,2015,1/11/2015,1.74545454545,1.02083333333,1.06818181818,3.66416644034,2.37600490436,2.74191147056
September,2013,1/9/2013,1.14,0.764705882353,0.794871794872,2.43318721022,2.10124365876,1.45319254516
December,2001,1/12/2001,1.20754716981,0.775,0.80487804878,2.28496720232,1.47457621031,1.75609756098
May,2011,1/5/2011,1.60416666667,0.837209302326,1.07894736842,3.11407813629,2.35194360554,1.84078900342
September,2000,1/9/2000,1.10869565217,0.805555555556,0.733333333333,2.21877620861,1.74514317217,1.41264134003
March,2014,1/3/2014,1.04255319149,0.7,0.677419354839,2.0829341703,1.38202749611,1.20180232324
April,2002,1/4/2002,1.08888888889,0.8125,0.69696969697,1.96437405605,1.58976216775,1.19303149606
January,2011,1/1/2011,1.26470588235,0.8,0.766666666667,1.94496066087,1.67332005307,1.17426099692
June,2011,1/6/2011,1.43181818182,0.885714285714,0.864864864865,2.94955872873,2.61611957537,1.33886119746
July,2012,1/7/2012,1.07142857143,0.6875,0.793103448276,1.8947654352,1.18420595759,1.29666177083
August,2003,1/8/2003,1.5,0.918918918919,0.914285714286,3.01887998497,1.8654523164,1.82633792166
October,2002,1/10/2002,1.15909090909,0.75,0.771428571429,1.89428784673,1.14564392374,1.26684567299
February,2009,1/2/2009,1.02325581395,0.757575757576,0.703703703704,1.98234500662,1.65200159642,1.40935537707
December,2015,1/12/2015,1.67692307692,0.927272727273,1.05454545455,4.23577326446,2.9594504739,2.95676839452
November,2000,1/11/2000,1.25,0.837837837838,0.774193548387,2.17553546178,1.56849925714,1.2104298735
September,2010,1/9/2010,0.935483870968,0.636363636364,0.625,1.21643275064,0.77138921584,0.904272267259
