Country,Month,Year,positive_change,negative_change
Canada,January,2000,7.3321589827e-05,0.00046721697313
Canada,February,2000,2.35463271774e-05,0.000397249069303
Canada,March,2000,4.5100809303e-05,0.000458273402746
Canada,April,2000,6.81710192861e-05,0.000431556672503
Canada,May,2000,9.20853930315e-05,0.000278050550898
Canada,June,2000,0.000141522666757,0.000232932154822
Canada,July,2000,0.000195630468818,0.000186930786177
Canada,August,2000,0.000175931436581,0.000218838049575
Canada,September,2000,0.000336182171921,6.03441340488e-05
Canada,October,2000,0.000201892888654,6.67813706475e-05
Canada,November,2000,8.30609950825e-05,0.000143224163285
Canada,December,2000,0.000131079264099,9.42178747401e-05
Canada,January,2001,7.760944751e-05,0.000167493938565
Canada,February,2001,0.000127750180523,0.000160562311033
Canada,March,2001,7.81272436971e-05,0.000233958358992
Canada,April,2001,0.000138616368765,0.000247180477368
Canada,May,2001,0.000179491525638,0.000143492437932
Canada,June,2001,6.94454957238e-05,0.00015370812198
Canada,July,2001,0.000225491984913,0.000134670361867
Canada,August,2001,0.000116844815827,0.000106645368909
Canada,September,2001,9.41562359896e-05,0.000154850167129
Canada,October,2001,0.000100404739769,0.000147900029547
Canada,November,2001,0.000101993423342,0.000180153976214
Canada,December,2001,8.12886256091e-05,0.000299901063257
Canada,January,2002,1.36406773425e-05,0.00044279174643
Canada,February,2002,1.22537301804e-05,0.000483949876249
Canada,March,2002,2.14795184752e-05,0.000426456298115
Canada,April,2002,4.00556136453e-05,0.000283105627426
Canada,May,2002,9.96161959071e-05,0.000278431350453
Canada,June,2002,0.000375105742536,0.000233087007621
Canada,July,2002,0.000120611854345,0.000192339584173
Canada,August,2002,3.48799615009e-05,0.000223138141888
Canada,September,2002,0.00011951489924,0.000175444645951
Canada,October,2002,0.000153574411632,0.000138024780773
Canada,November,2002,0.000218844081476,0.000118302193958
Canada,December,2002,0.000187275245329,8.32620572019e-05
Canada,January,2003,0.0002738930006,8.11471827322e-05
Canada,February,2003,0.000327320504314,0.000116745403458
Canada,March,2003,0.000211065148081,0.000102077634705
Canada,April,2003,0.000194453319533,7.76550781752e-05
Canada,May,2003,0.000209298438664,0.000174139379341
Canada,June,2003,9.38597952781e-05,0.00024035021478
Canada,July,2003,0.00010733689798,0.000215942322897
Canada,August,2003,0.000104897574219,0.000211818779579
Canada,September,2003,0.000157998000044,0.000251195439467
Canada,October,2003,0.000147609087151,0.000238767135208
Canada,November,2003,0.000246027208777,0.000290003511518
Canada,December,2003,0.000127829471859,0.000325325115007
Canada,January,2004,0.000234592654649,0.000172577035599
Canada,February,2004,0.000186399203462,0.00016335153041
Canada,March,2004,9.62077497487e-05,0.00015795965378
Canada,April,2004,6.70042942816e-05,0.000184813401375
Canada,May,2004,0.000211350257364,8.36474147617e-05
Canada,June,2004,0.000177997331758,0.000202219880851
Canada,July,2004,0.000190314643389,0.000114804036044
Canada,August,2004,0.000314926993177,3.32499364882e-05
Canada,September,2004,0.000172578565691,6.39528240816e-05
Canada,October,2004,0.000224709717674,8.53486708195e-05
Canada,November,2004,0.000279811153303,2.41470227503e-05
Canada,December,2004,0.000543438815349,6.07581038779e-05
Canada,January,2005,0.000159058181059,0.00016662910859
Canada,February,2005,0.000149589408104,0.00017537397188
