Country,Month,Year, Day/month/year, Average Policy Change, Standard Deviation
New Zealand,April,2013,1/4/2013,4.56439404083e-05, 0.00193539613773
Turkey,April,2013,1/4/2013,0.0113269415884, 0.0419351308314
Hungary,April,2013,1/4/2013,0.0222122953859, 0.0348247665415
Cyprus,April,2013,1/4/2013,-0.00141626919389, 0.00482371314378
France,April,2013,1/4/2013,0.00579204571078, 0.0438177769564
Slovakia,April,2013,1/4/2013,-0.000891098470987, 0.0022233958147
Norway,April,2013,1/4/2013,-0.00125956739564, 0.0085866627627
USA (EOIR),April,2013,1/4/2013,0.00942557928587, 0.0428617171415
Finland,April,2013,1/4/2013,-0.00122157113919, 0.00484847878317
Sweden,April,2013,1/4/2013,-0.017688274327, 0.0340249195884
Australia,April,2013,1/4/2013,-0.00672235933271, 0.0357421761594
Bulgaria,April,2013,1/4/2013,0.00395327784027, 0.014958836973
Romania,April,2013,1/4/2013,-0.00482151302408, 0.0128837022034
Czech Rep.,April,2013,1/4/2013,-9.04826007184e-05, 0.00104730719275
Portugal,April,2013,1/4/2013,0.000183145080269, 0.00312799831736
Liechtenstein,April,2013,1/4/2013,-0.00020276633647, 0.000893470582565
Austria,April,2013,1/4/2013,-0.000612371717213, 0.0217847328282
The former Yugoslav Rep. of Macedonia,April,2013,1/4/2013,0.00392638246537, 0.00845069228097
Japan,April,2013,1/4/2013,0.000107643185912, 0.00883602045294
Luxembourg,April,2013,1/4/2013,-0.00202700404586, 0.00747752810445
Ireland,April,2013,1/4/2013,0.000238828299915, 0.00185169259856
USA (INS/DHS),April,2013,1/4/2013,-0.00728474148291, 0.017236851793
Belgium,April,2013,1/4/2013,-0.0108426536139, 0.0137042516231
Poland,April,2013,1/4/2013,-0.00350504598336, 0.0379088737841
Switzerland,April,2013,1/4/2013,-0.00518099188866, 0.0243846447831
Estonia,April,2013,1/4/2013,-0.000124369703548, 0.00138092567109
Italy,April,2013,1/4/2013,-0.0048730422161, 0.0479096272461
Malta,April,2013,1/4/2013,-0.00259786851886, 0.00907796537775
United Kingdom of Great Britain and Northern Ireland,April,2013,1/4/2013,-0.000106881827256, 0.022480927407
Iceland,April,2013,1/4/2013,-0.000233925145367, 0.000748566726356
Denmark,April,2013,1/4/2013,0.000421553231021, 0.00766045232936
Greece,April,2013,1/4/2013,-0.00649806874128, 0.019118248292
Croatia,April,2013,1/4/2013,-0.00151924907954, 0.00654303483977
Rep. of Korea,April,2013,1/4/2013,0.00134789029465, 0.00928048584928
Canada,September,2016,1/9/2016,0.00252819584977, 0.0164012818195
Montenegro,September,2016,1/9/2016,-0.000456867638858, 0.00102739203248
