Country,Month,Year,Average Policy Change, Standard Deviation
Canada,May,2008,-0.0361143237428,0.326552369839
Slovenia,May,2008,0.00707046431424,0.0152526996709
Germany,May,2008,-0.00797917129839,0.0511135476999
Spain,May,2008,0.00111812760266,0.0157577886891
Netherlands,May,2008,0.0027751742794,0.072653590556
New Zealand,May,2008,-0.0394372914006,0.117122084683
Hungary,May,2008,0.000164445343421,0.0141548230448
France,May,2008,-0.0144634000791,0.0296225292046
Slovakia,May,2008,-0.000245176498329,0.00502850579444
Norway,May,2008,0.00535124472049,0.097416801711
USA (EOIR),May,2008,-0.032202752417,0.0972848521978
Finland,May,2008,0.0021290919083,0.0641400590203
Sweden,May,2008,-0.0414968670537,0.168096965124
Australia,May,2008,-0.00921150492843,0.221372329541
Bulgaria,May,2008,0.000409186199397,0.00197301451213
Romania,May,2008,0.000367002065524,0.00623640545121
Czech Rep.,May,2008,-0.00347400286559,0.0171924340847
Portugal,May,2008,0.00115245092834,0.00410455834321
Cyprus,May,2008,-0.00638013835091,0.0110600671849
Liechtenstein,May,2008,-0.0100268677012,0.0173242544006
Austria,May,2008,-0.00896976805388,0.0332651388506
Japan,May,2008,0.0148571758135,0.0588186702145
Luxembourg,May,2008,0.000536136759537,0.00729052308481
Ireland,May,2008,0.0392507793678,0.192244987766
USA (INS/DHS),May,2008,-0.0254705690675,0.185847462142
Belgium,May,2008,-0.0204709733112,0.0676091306309
Denmark,May,2008,-0.042524545214,0.18259177894
Poland,May,2008,-0.00329440575892,0.0110673659959
Switzerland,May,2008,-0.0118217947572,0.0816356788878
Italy,May,2008,0.0140165033451,0.0591309879945
Malta,May,2008,-0.00404016217055,0.0178816548294
United Kingdom of Great Britain and Northern Ireland,May,2008,-0.00748699514877,0.119843579047
Iceland,May,2008,0.000918070952955,0.00201022670232
Greece,May,2008,0.00378501261221,0.0270401126736
Rep. of Korea,May,2008,0.000837132376986,0.00397838216365
Canada,March,2003,-0.00721192063342,0.275543545546
Slovenia,March,2003,6.53603721247e-05,0.00795606398895
Germany,March,2003,-0.0180570176701,0.157649863856
Spain,March,2003,-0.00535058415869,0.0156979407025
Netherlands,March,2003,0.0227825704421,0.152442095514
New Zealand,March,2003,0.0116061667857,0.0522363351005
Hungary,March,2003,-0.0016464250578,0.0100950123785
France,March,2003,0.0227291905747,0.0433800412208
Slovakia,March,2003,-0.0042817689187,0.0203722933997
Norway,March,2003,-0.0202691672613,0.106582904577
USA (EOIR),March,2003,-0.0148990618892,0.232589550607
Finland,March,2003,-0.000998352382231,0.00463157192459
Sweden,March,2003,-0.0174775274104,0.104609860234
Australia,March,2003,0.0426652450462,0.177004610304
Czech Rep.,March,2003,-0.00228793667241,0.0174825540815
Portugal,March,2003,-0.000513142925938,0.0025338262743
Cyprus,March,2003,-0.00444280539854,0.00924756849053
Liechtenstein,March,2003,-0.000393185587181,0.00201778345407
Austria,March,2003,-0.00511608987659,0.0660174512024
Japan,March,2003,-0.000396514031376,0.00109169427447
Luxembourg,March,2003,0.000884247639818,0.00644940137968
Ireland,March,2003,-0.0120298319164,0.0732792685998
USA (INS/DHS),March,2003,0.00885453063684,0.0287993682049
Belgium,March,2003,0.00657209509188,0.0337581265093
Denmark,March,2003,-0.00540369516763,0.0727010161825
Poland,March,2003,0.00878172733315,0.0228886428164
Switzerland,March,2003,-0.00183839656199,0.0361957901082
Malta,March,2003,-0.00294228353202,0.0188285779986
United Kingdom of Great Britain and Northern Ireland,March,2003,-0.0335891745914,0.0575974484878
Iceland,March,2003,-0.00100905671591,0.00390020299622
Greece,March,2003,0.00392112092953,0.0101388226734
Canada,April,2013,0.00136757565741,0.221585185032
Lithuania,April,2013,-0.000640036513676,0.00393618754327
Slovenia,April,2013,0.000101070535715,0.00601684619022
Germany,April,2013,-0.0207818699471,0.107301962347
Spain,April,2013,-0.00319367362966,0.0176292123481
Netherlands,April,2013,-0.0273979306544,0.306678378264
New Zealand,April,2013,0.049133383645,0.171542311708
Hungary,April,2013,0.0161017400754,0.0425012069516
France,April,2013,-0.00334270821458,0.0323265144912
Slovakia,April,2013,-0.00322246241932,0.0130364934544
Norway,April,2013,-0.0112003127768,0.0470321602424
USA (EOIR),April,2013,-0.00372003182312,0.122256466431
Finland,April,2013,0.0108526341217,0.0809835995655
Sweden,April,2013,0.0233580582831,0.19128204337
Australia,April,2013,-0.015305366586,0.24077498361
Bulgaria,April,2013,-0.00185314779104,0.0198238490586
Romania,April,2013,0.0381900023754,0.192373885743
Czech Rep.,April,2013,-0.00531557126484,0.0203304487586
Portugal,April,2013,0.000687321112371,0.00359959081538
Cyprus,April,2013,-0.00113856773453,0.00402136359
Liechtenstein,April,2013,0.142845255965,0.349933372633
Austria,April,2013,0.0055924480849,0.0997063258651
The former Yugoslav Rep. of Macedonia,April,2013,0.00441102441736,0.00885292944639
Japan,April,2013,-0.00151039137657,0.0177722916678
Luxembourg,April,2013,-0.000826844989312,0.00565613821452
