Country,Month,Year,positive_change,negative_change
Canada,January,2000,0.0124751747159,0.0395212028012
Canada,February,2000,0.00872929939873,0.031275537774
Canada,March,2000,0.00681456648138,0.0344047491412
Canada,April,2000,0.0110539951029,0.0287420196534
Canada,May,2000,0.0207849044555,0.0157309155763
Canada,June,2000,0.022498768506,0.0135381880079
Canada,July,2000,0.0209774957491,0.0142770812601
Canada,August,2000,0.0328773890832,0.0119149708117
Canada,September,2000,0.0402849448594,0.00687231939617
Canada,October,2000,0.0315162733618,0.00942671943063
Canada,November,2000,0.0273358302046,0.0137946133515
Canada,December,2000,0.0181591715768,0.0209871895911
Canada,January,2001,0.0130027803641,0.0260436043912
Canada,February,2001,0.0150950054583,0.0288330860517
Canada,March,2001,0.0127754775531,0.0245896428293
Canada,April,2001,0.0141791265122,0.0228029731189
Canada,May,2001,0.0189468408615,0.0149346492377
Canada,June,2001,0.0166014836261,0.0152954903457
Canada,July,2001,0.0273820025288,0.012427235218
Canada,August,2001,0.0192824250369,0.0128666401272
Canada,September,2001,0.0189209487231,0.0219059662916
Canada,October,2001,0.0155346699171,0.0130924585551
Canada,November,2001,0.0114069506309,0.0208401005181
Canada,December,2001,0.013223697799,0.0267918418593
Canada,January,2002,0.00802500370623,0.0387746974499
Canada,February,2002,0.00296543695326,0.0433237478286
Canada,March,2002,0.00767913432525,0.0399571541284
Canada,April,2002,0.013250178336,0.0210695722755
Canada,May,2002,0.0131732902224,0.0243174592461
Canada,June,2002,0.0218412883211,0.0202535276229
Canada,July,2002,0.0169179145275,0.020509994753
Canada,August,2002,0.0114378453862,0.026788316109
Canada,September,2002,0.0215258427043,0.0200738715053
Canada,October,2002,0.0247906745904,0.0154338949953
Canada,November,2002,0.0285383021964,0.0125225357865
Canada,December,2002,0.0138340938671,0.0216181509381
Canada,January,2003,0.0174840700228,0.0192202703787
Canada,February,2003,0.0151391475394,0.020334815048
Canada,March,2003,0.0139835751353,0.0212454253362
Canada,April,2003,0.019868529434,0.0170081811315
Canada,May,2003,0.025292242565,0.0203945345273
Canada,June,2003,0.0116100375396,0.0214597804823
Canada,July,2003,0.0195035289373,0.0141548877374
Canada,August,2003,0.0166273093987,0.0200761483182
Canada,September,2003,0.0205308865271,0.015818549356
Canada,October,2003,0.0169313984694,0.0197319411471
Canada,November,2003,0.0141761279709,0.0173465183207
Canada,December,2003,0.0159770505169,0.0176016846061
Canada,January,2004,0.0220189379752,0.011836174256
Canada,February,2004,0.0157796236971,0.0113617015774
Canada,March,2004,0.00803614408841,0.0174223496944
Canada,April,2004,0.00590383849775,0.019791763107
Canada,May,2004,0.0163427226943,0.0101734692223
Canada,June,2004,0.0136073591056,0.0119389571866
Canada,July,2004,0.0121264457077,0.0138724804744
Canada,August,2004,0.0244352286496,0.00467990776581
Canada,September,2004,0.0178469984302,0.00799048625437
Canada,October,2004,0.0150718328651,0.00998881721512
Canada,November,2004,0.0221637248159,0.0079140774799
Canada,December,2004,0.0394677533404,0.00761722916455
Canada,January,2005,0.00875302131774,0.032471645546
Canada,February,2005,0.00985936865481,0.0250579908763
Canada,March,2005,0.00355016364197,0.0352444586542
Canada,April,2005,0.00765743116842,0.0261724062226
Canada,May,2005,0.00671802459238,0.0265854967256
Canada,June,2005,0.0110833889102,0.0213477667667
Canada,July,2005,0.0129527809954,0.0171331415275
Canada,August,2005,0.0146951350426,0.00752112977289
Canada,September,2005,0.0180757833693,0.0102498106022
Canada,October,2005,0.0217644001467,0.00839513963247
Canada,November,2005,0.027281918382,0.00505315698217
Canada,December,2005,0.0164198787007,0.0105076234084
Canada,January,2006,0.018726687686,0.00738979290915
Canada,February,2006,0.00875772901795,0.0169571380519
Canada,March,2006,0.00923960937933,0.0235106505684
Canada,April,2006,0.0129093122642,0.0173106594093
Canada,May,2006,0.0113835017655,0.0154192879182
Canada,June,2006,0.0146380759663,0.0168776075653
Canada,July,2006,0.0216648125056,0.00792631494127
Canada,August,2006,0.0433822701507,0.00773480931068
Canada,September,2006,0.0300905882851,0.0109422207511
Canada,October,2006,0.0124773501508,0.0172267878677
Canada,November,2006,0.0197026597248,0.0137726969765
Canada,December,2006,0.0105148501748,0.0294136154493
Canada,January,2007,0.0147592117063,0.0217514853682
Canada,February,2007,0.0195347256789,0.0232088177951
Canada,March,2007,0.00872654456471,0.0259708687551
Canada,April,2007,0.0131395907085,0.0198370955535
Canada,May,2007,0.00767902775068,0.0144574265746
Canada,June,2007,0.00792564991594,0.0134144504987
Canada,July,2007,0.0215012041174,0.00966830471125
Canada,August,2007,0.0258362215114,0.0113473921224
Canada,September,2007,0.0331474742782,0.00969101863244
Canada,October,2007,0.0304846306646,0.00924189317987
Canada,November,2007,0.0336025839842,0.0102999545947
Canada,December,2007,0.0335971770564,0.0135684102258
Canada,January,2008,0.0234602613194,0.0120160303085
Canada,February,2008,0.0189159163813,0.0151013656145
Canada,March,2008,0.00909105127412,0.0207724712738
Canada,April,2008,0.0162005143207,0.0184129855626
Canada,May,2008,0.0151612110752,0.0197850871919
Canada,June,2008,0.0198774463894,0.0152937541966
Canada,July,2008,0.0164293330701,0.0133658245159
Canada,August,2008,0.021818419001,0.011855096843
Canada,September,2008,0.0226227550636,0.00633043046255
Canada,October,2008,0.0158392634634,0.00989289133323
Canada,November,2008,0.0157853772794,0.0106481285663
Canada,December,2008,0.0202262185317,0.0170940254825
Canada,January,2009,0.0158632901266,0.0162670317185
Canada,February,2009,0.0199041139946,0.0201544413761
Canada,March,2009,0.00851728350277,0.025819039162
Canada,April,2009,0.0177991750786,0.0167622164601
Canada,May,2009,0.0063209718685,0.0209091780725
Canada,June,2009,0.00847898111591,0.0213737294353
Canada,July,2009,0.0125795402291,0.0132206562196
Canada,August,2009,0.0179225684443,0.0239801362274
Canada,September,2009,0.0172915388994,0.020787183557
Canada,October,2009,0.0150935616223,0.0207968102596
Canada,November,2009,0.0134231532386,0.0162545707919
Canada,December,2009,0.012660576455,0.0163335332139
Canada,January,2010,0.0148892857822,0.0238310970117
Canada,February,2010,0.0123393733025,0.022943107168
Canada,March,2010,0.00951815740658,0.0189335254578
Canada,April,2010,0.00743271347028,0.0197725016545
Canada,May,2010,0.00597714546091,0.0221508118649
Canada,June,2010,0.0101209133297,0.0163579474945
Canada,July,2010,0.0152379973025,0.016267941021
Canada,August,2010,0.0265521082623,0.0155297926992
Canada,September,2010,0.0239403700964,0.0160731401633
Canada,October,2010,0.0183215632149,0.0133950996265
Canada,November,2010,0.016449672125,0.016013258051
Canada,December,2010,0.0146515829404,0.0170798133141
Canada,January,2011,0.0133008655383,0.0170302198577
Canada,February,2011,0.0101519833181,0.0172379396144
Canada,March,2011,0.00993080927301,0.020292998253
Canada,April,2011,0.00526574247521,0.0180350942535
Canada,May,2011,0.00732031398995,0.0188997869831
Canada,June,2011,0.011232548496,0.0191314539394
