Country,Month,Year,positive_change,negative_change
Canada,January,2000,0.00446182769553,0.0382126710029
Canada,February,2000,0.00226535266478,0.0190946806498
Canada,March,2000,0.00285343378183,0.0172218078054
Canada,April,2000,0.00703565294265,0.0107769376536
Canada,May,2000,0.0140804545666,0.0039790649487
Canada,June,2000,0.0114485118057,0.00545622078847
Canada,July,2000,0.0170625020367,0.00665065819103
Canada,August,2000,0.00714069625562,0.00779694641036
Canada,September,2000,0.0183296505448,0.00212073187305
Canada,October,2000,0.0091311257388,0.00756590965159
Canada,November,2000,0.00345401752633,0.015074672508
Canada,December,2000,0.0055687958358,0.0121751087381
Canada,January,2001,0.00438141311443,0.0221978629606
Canada,February,2001,0.00595242074609,0.0113453319563
Canada,March,2001,0.00517948985718,0.010773472653
Canada,April,2001,0.0095686884795,0.00747181857346
Canada,May,2001,0.01306830152,0.00430368218354
Canada,June,2001,0.00668744237809,0.00883362534162
Canada,July,2001,0.0143254808941,0.00677533409852
Canada,August,2001,0.0107820328212,0.00739223378191
Canada,September,2001,0.00598790307185,0.0107160839095
Canada,October,2001,0.00666980468023,0.011622421406
Canada,November,2001,0.00636629598707,0.00950775874866
Canada,December,2001,0.00477300594139,0.015932794978
Canada,January,2002,0.00203445702316,0.0249489062175
Canada,February,2002,0.00198622665132,0.0170337837096
Canada,March,2002,0.00328124302619,0.0104531513408
Canada,April,2002,0.00673572196866,0.00369943472755
Canada,May,2002,0.00797612593957,0.00332419162762
Canada,June,2002,0.0182305430806,0.0025943008874
Canada,July,2002,0.0112911187491,0.00739574563341
Canada,August,2002,0.00369673799997,0.0125208216707
Canada,September,2002,0.00965619701903,0.00777985542252
Canada,October,2002,0.00717133377499,0.00593163500199
Canada,November,2002,0.0117033101138,0.00652927101479
Canada,December,2002,0.00768799937892,0.0078979205423
Canada,January,2003,0.00847821496739,0.0058195508386
Canada,February,2003,0.00989987608256,0.00858303727747
Canada,March,2003,0.00570155802115,0.0058151573556
Canada,April,2003,0.0132490459237,0.00707512736088
Canada,May,2003,0.0118092930471,0.0107754062776
Canada,June,2003,0.00391439673885,0.0124317164698
Canada,July,2003,0.00473160548676,0.0124893398124
Canada,August,2003,0.00687064361452,0.00968226483485
Canada,September,2003,0.00910601471926,0.0056860671018
Canada,October,2003,0.00542804940723,0.0053476159794
Canada,November,2003,0.00985264805371,0.00458760294479
Canada,December,2003,0.00311286511595,0.00862698719711
Canada,January,2004,0.00839699502771,0.00296747489984
Canada,February,2004,0.00650231279768,0.00589033070377
Canada,March,2004,0.00343219840009,0.00797853421763
Canada,April,2004,0.0030129102917,0.00935836817857
Canada,May,2004,0.00873477659087,0.00339904648688
Canada,June,2004,0.00980616216438,0.00532031671609
Canada,July,2004,0.00858483795448,0.00446517160067
Canada,August,2004,0.0119214165562,0.00264068391948
Canada,September,2004,0.0064845680642,0.00523800504178
Canada,October,2004,0.00741130249044,0.00380755585456
Canada,November,2004,0.00878222138633,0.0031024286389
Canada,December,2004,0.020619481513,0.00548107501363
Canada,January,2005,0.00312749167689,0.0175089961149
Canada,February,2005,0.00541527026511,0.0186864380457
Canada,March,2005,0.00170104115744,0.027324611379
Canada,April,2005,0.0047210987679,0.00851654356957
Canada,May,2005,0.00547308811701,0.00880136622501
Canada,June,2005,0.00606175108292,0.00544645207487
Canada,July,2005,0.0129152752785,0.00150539571298
Canada,August,2005,0.0102390840677,0.00329266016171
Canada,September,2005,0.0152157717761,0.00234448993607
Canada,October,2005,0.00719602987515,0.00880561387444
Canada,November,2005,0.0088813138404,0.00327475259258
Canada,December,2005,0.00566957160813,0.013825556867
Canada,January,2006,0.0124309952652,0.00873467112089
Canada,February,2006,0.00546826888125,0.00875673310048
Canada,March,2006,0.00552194465692,0.00749569121679
Canada,April,2006,0.00544765726582,0.00741961146176
Canada,May,2006,0.00908336314349,0.010849639695
Canada,June,2006,0.0067879714149,0.00736602559039
Canada,July,2006,0.0107068743722,0.00431576138648
Canada,August,2006,0.0218893714996,0.00330416601829
Canada,September,2006,0.0168913512404,0.00552781122523
Canada,October,2006,0.00218650387822,0.0133976072687
Canada,November,2006,0.0110050122335,0.0103878484126
Canada,December,2006,0.00647675088217,0.0200374650949
Canada,January,2007,0.0146981867713,0.00576397001571
Canada,February,2007,0.0023081772198,0.00904412597095
Canada,March,2007,0.00331457267608,0.00911180857968
Canada,April,2007,0.00522131084768,0.0146670854745
Canada,May,2007,0.00351166950981,0.00930094339094
Canada,June,2007,0.0128798478342,0.00527386060246
Canada,July,2007,0.0243951075236,0.00237243629917
Canada,August,2007,0.0300164118867,0.00528976715708
Canada,September,2007,0.0216575964416,0.00331546361619
Canada,October,2007,0.00998943296737,0.00724735213704
Canada,November,2007,0.0136816569468,0.00333495510825
Canada,December,2007,0.00750762989024,0.00667993330916
Canada,January,2008,0.0133648727001,0.00815906413474
Canada,February,2008,0.00656202862009,0.0172356596244
Canada,March,2008,0.0064019460361,0.0127990260722
Canada,April,2008,0.00561986927365,0.00938629700866
Canada,May,2008,0.00565089401601,0.00932546110207
Canada,June,2008,0.00724487247639,0.00584627348778
Canada,July,2008,0.012197676734,0.00251748028273
Canada,August,2008,0.0137996201357,0.00309376585082
Canada,September,2008,0.00733926663708,0.00322870341546
Canada,October,2008,0.00542088210949,0.00694396738632
Canada,November,2008,0.00413147798098,0.00696047933459
Canada,December,2008,0.00424085501801,0.0167086823071
Canada,January,2009,0.00910472577269,0.00827006254282
Canada,February,2009,0.00431450153875,0.0122353624505
Canada,March,2009,0.00539371754874,0.00899445038703
Canada,April,2009,0.00289495677968,0.0128477950927
Canada,May,2009,0.00341837328854,0.0141995019636
Canada,June,2009,0.012851168789,0.00573007885971
Canada,July,2009,0.0102901807047,0.00767340469519
Canada,August,2009,0.00577003966651,0.0116559009622
Canada,September,2009,0.00643413965209,0.0166224676787
Canada,October,2009,0.0106896178292,0.0142157387384
Canada,November,2009,0.00362696988612,0.010096936834
Canada,December,2009,0.00312817538205,0.00938933440854
Canada,January,2010,0.00650412459898,0.00808849134651
Canada,February,2010,0.0115735657254,0.0123429879423
Canada,March,2010,0.00565009345123,0.0135566439312
Canada,April,2010,0.00478207017697,0.00998290998898
Canada,May,2010,0.00536985535817,0.013536383558
Canada,June,2010,0.00392707556406,0.0162917555273
Canada,July,2010,0.00734662592684,0.00622425477911
Canada,August,2010,0.0267794278074,0.00577744749305
Canada,September,2010,0.00923194154547,0.011599291747
Canada,October,2010,0.00253985905129,0.0172561356618
Canada,November,2010,0.00946091043778,0.0121143572537
Canada,December,2010,0.0052132759651,0.00811724080666
Canada,January,2011,0.00510893445981,0.00926731294984
Canada,February,2011,0.00217754175593,0.0142223514174
Canada,March,2011,0.00556810989297,0.0132864324806
Canada,April,2011,0.00338205986687,0.0129474616263
Canada,May,2011,0.00253701535588,0.0107530553252
Canada,June,2011,0.00462020306165,0.00767756290722
Canada,July,2011,0.00400787257996,0.005723481601
Canada,August,2011,0.00796516852585,0.00292400650657
Canada,September,2011,0.0121110978225,0.00402381412414
Canada,October,2011,0.00593379592281,0.00561138364844
Canada,November,2011,0.00494408528891,0.00572817888938
Canada,December,2011,0.00488575716957,0.0112447116768
Canada,January,2012,0.00347087042451,0.00898552745041
Canada,February,2012,0.0059327995083,0.00492804168195
Canada,March,2012,0.00261377961957,0.0110385992099
Canada,April,2012,0.00426982503235,0.00758628081777
Canada,May,2012,0.00498114703678,0.00553337892546
Canada,June,2012,0.00453480812723,0.00545906144041
Canada,July,2012,0.00349002836697,0.0041573338415
Canada,August,2012,0.00295538183191,0.0059459916129
Canada,September,2012,0.00943790710869,0.00297521281441
Canada,October,2012,0.00392562860101,0.00468291690322
Canada,November,2012,0.00507759157809,0.00447362473694
Canada,December,2012,0.00368743181815,0.00606154023343
Canada,January,2013,0.000733927361381,0.0149658014832
Canada,February,2013,0.00192975244283,0.0105213055588
Canada,March,2013,0.0011556816161,0.00879358009565
Canada,April,2013,0.00381656199772,0.00307890666479
Canada,May,2013,0.00298901314123,0.00185420749451
