Country,Month,Year,positive_change,negative_change
Canada,January,2000,0.0162441198043,0.0377524854422
Canada,February,2000,0.00983956261513,0.031965528782
Canada,March,2000,0.00739788504533,0.0392056404669
Canada,April,2000,0.0118018131249,0.0361298467102
Canada,May,2000,0.0216389703297,0.019821538264
Canada,June,2000,0.0196579849308,0.021868063725
Canada,July,2000,0.0176554607415,0.0197047017265
Canada,August,2000,0.0298701327313,0.0169231054896
Canada,September,2000,0.0413250721989,0.00843369493842
Canada,October,2000,0.0410641225626,0.0102385422051
Canada,November,2000,0.0305525230162,0.0136677912918
Canada,December,2000,0.0220151940228,0.0175284137505
Canada,January,2001,0.0184006661884,0.020385962807
Canada,February,2001,0.0170690678271,0.0246963774599
Canada,March,2001,0.013775193831,0.0236709179285
Canada,April,2001,0.0143401473566,0.0224655892399
Canada,May,2001,0.0206932102636,0.0177254214643
Canada,June,2001,0.0186774638353,0.0179070341239
Canada,July,2001,0.0253358193051,0.0177368321488
Canada,August,2001,0.0218018596805,0.0154714128709
Canada,September,2001,0.0185312812253,0.0287570578253
Canada,October,2001,0.0164747064143,0.0148686795007
Canada,November,2001,0.0129689428024,0.0195257434817
Canada,December,2001,0.0146350579289,0.0241195687868
Canada,January,2002,0.0082493738577,0.040573300513
Canada,February,2002,0.00248391125421,0.0485703553803
Canada,March,2002,0.0079175595786,0.0447010930763
Canada,April,2002,0.0156102969975,0.0274016099281
Canada,May,2002,0.0126134428093,0.0303889788884
Canada,June,2002,0.0195826898632,0.0251502030843
Canada,July,2002,0.0174663818822,0.0276652617898
Canada,August,2002,0.013011291599,0.0331447634967
Canada,September,2002,0.0227005650272,0.0244322572227
Canada,October,2002,0.030983451778,0.0183407353569
Canada,November,2002,0.0330580687781,0.0134577104962
Canada,December,2002,0.0167940516021,0.0208992542026
Canada,January,2003,0.0213850362547,0.017294097479
Canada,February,2003,0.0180358285813,0.0210307268747
Canada,March,2003,0.0137178893112,0.0226251008822
Canada,April,2003,0.0206214092842,0.0176362954038
Canada,May,2003,0.0268703503189,0.0208790871473
Canada,June,2003,0.0149133627142,0.0221996239251
Canada,July,2003,0.0178627258504,0.0185695998091
Canada,August,2003,0.0165196126969,0.0231434050783
Canada,September,2003,0.0188604659278,0.0171319058504
Canada,October,2003,0.0171416659762,0.0197598066347
Canada,November,2003,0.0169481351554,0.0195606650173
Canada,December,2003,0.0180265510492,0.0210851327399
Canada,January,2004,0.0315565644405,0.0130630077437
Canada,February,2004,0.0218744050022,0.0131714295458
Canada,March,2004,0.010162997966,0.0218211828202
Canada,April,2004,0.0105998167693,0.0187871723433
Canada,May,2004,0.0182969263107,0.0128448632131
Canada,June,2004,0.0162174509441,0.0188968186278
Canada,July,2004,0.0128237308753,0.0174981320737
Canada,August,2004,0.0258890431996,0.00727622638587
Canada,September,2004,0.0254752835289,0.0079329338256
Canada,October,2004,0.0173866707083,0.0125370561607
Canada,November,2004,0.0256258326536,0.010252600536
Canada,December,2004,0.0424500609498,0.00839681054429
Canada,January,2005,0.0130949016486,0.0292017947005
Canada,February,2005,0.0126926168795,0.023940815005
Canada,March,2005,0.00760171119983,0.0352398544051
Canada,April,2005,0.0119734571063,0.0255773642211
Canada,May,2005,0.00985059812512,0.0317758538113
Canada,June,2005,0.0110540622878,0.0287395739938
Canada,July,2005,0.0124044185766,0.0260386471958
Canada,August,2005,0.0114897319649,0.0195720224548
Canada,September,2005,0.016265416282,0.0186155041457
Canada,October,2005,0.0228027601224,0.0175382482626
Canada,November,2005,0.0280861687218,0.00811875732392
Canada,December,2005,0.0192082802123,0.0125902809569
Canada,January,2006,0.0226168901076,0.00642555792545
Canada,February,2006,0.0138305560063,0.0186113099913
Canada,March,2006,0.0128434523652,0.0243724031126
Canada,April,2006,0.0154984432449,0.0218677353791
Canada,May,2006,0.010393297447,0.0189463706307
Canada,June,2006,0.0147392534221,0.0180511016181
Canada,July,2006,0.0232290732764,0.0124803456076
Canada,August,2006,0.0423731002692,0.00791165712263
Canada,September,2006,0.0312381205357,0.0121025165939
Canada,October,2006,0.0210319574392,0.0151692429085
Canada,November,2006,0.0230031346783,0.013819194989
Canada,December,2006,0.0141370840187,0.024462289184
Canada,January,2007,0.0168086765704,0.0165746930436
Canada,February,2007,0.0215135450235,0.0196893407567
Canada,March,2007,0.0114611742005,0.0268831762936
Canada,April,2007,0.0170533265908,0.0210638945532
Canada,May,2007,0.00737763281382,0.0215410191978
Canada,June,2007,0.0138159569687,0.0212400499238
Canada,July,2007,0.0198719171608,0.0201026312904
Canada,August,2007,0.023171187212,0.0166818608131
Canada,September,2007,0.0316343338841,0.0108540293221
Canada,October,2007,0.0309633898511,0.0103910347606
Canada,November,2007,0.0417083899465,0.011139682087
Canada,December,2007,0.0389383710875,0.0147184747134
Canada,January,2008,0.0309766203736,0.00929393545151
Canada,February,2008,0.0281559167189,0.0150374152048
Canada,March,2008,0.0219866035376,0.0166351528309
Canada,April,2008,0.0244668266902,0.0157605844609
